,Date,Open,High,Low,Close,Volume
,"Aug 3, 2021","1,219.71","1,224.57","1,216.44","1,222.70","93,043,788"
,"Aug 4, 2021","1,221.44","1,227.27","1,220.02","1,221.30","75,970,165"
,"Aug 5, 2021","1,223.07","1,226.28","1,222.36","1,223.68","94,390,136"
,"Aug 6, 2021","1,225.01","1,233.19","1,225.01","1,231.50","91,031,753"
,"Aug 9, 2021","1,227.52","1,230.66","1,225.62","1,230.10","98,577,522"
,"Aug 10, 2021","1,231.57","1,236.50","1,231.41","1,233.37","109,104,018"
,"Aug 11, 2021","1,235.18","1,236.79","1,232.43","1,235.57","101,025,531"
,"Aug 12, 2021","1,235.46","1,235.46","1,226.93","1,233.55","95,225,743"
,"Aug 13, 2021","1,235.93","1,236.18","1,231.79","1,233.09","85,687,999"
,"Aug 16, 2021","1,229.35","1,231.95","1,227.23","1,231.70","89,182,549"
,"Aug 17, 2021","1,228.02","1,229.99","1,219.93","1,225.72","105,298,569"
,"Aug 18, 2021","1,224.99","1,226.88","1,221.18","1,221.68","95,180,962"
,"Aug 19, 2021","1,215.81","1,219.63","1,211.07","1,217.52","101,718,560"
,"Aug 20, 2021","1,218.11","1,225.03","1,217.20","1,224.43","86,925,974"
,"Aug 23, 2021","1,227.21","1,230.46","1,225.34","1,230.37","105,602,931"
,"Aug 24, 2021","1,231.60","1,235.94","1,230.26","1,233.60","75,014,613"
,"Aug 25, 2021","1,235.72","1,237.80","1,233.46","1,236.30","121,025,719"
,"Aug 26, 2021","1,236.07","1,236.24","1,229.63","1,229.63","89,996,909"
,"Aug 27, 2021","1,232.51","1,238.35","1,231.71","1,236.87","86,661,528"
,"Aug 30, 2021","1,237.63","1,237.63","1,231.34","1,233.55","102,499,941"
,"Aug 31, 2021","1,234.96","1,239.86","1,230.49","1,231.33","132,568,811"
,"Sep 1, 2021","1,233.06","1,241.23","1,233.06","1,238.11","93,608,945"
,"Sep 2, 2021","1,240.36","1,246.85","1,240.36","1,244.94","75,968,347"
,"Sep 3, 2021","1,246.06","1,247.28","1,243.44","1,245.66","77,919,950"
,"Sep 7, 2021","1,247.87","1,251.17","1,245.55","1,245.92","125,435,614"
,"Sep 8, 2021","1,245.72","1,250.43","1,241.81","1,242.59","104,809,907"
,"Sep 9, 2021","1,241.31","1,245.34","1,238.01","1,239.63","103,751,272"
,"Sep 10, 2021","1,242.64","1,242.64","1,234.36","1,234.46","104,968,126"
,"Sep 13, 2021","1,240.49","1,242.76","1,234.09","1,236.52","156,465,032"
,"Sep 14, 2021","1,236.34","1,237.17","1,227.79","1,228.46","124,813,929"
,"Sep 15, 2021","1,231.27","1,238.88","1,228.91","1,237.06","159,345,572"
,"Sep 16, 2021","1,236.10","1,236.10","1,229.20","1,231.76","102,772,578"
,"Sep 17, 2021","1,225.85","1,228.94","1,222.13","1,224.44","297,840,589"
,"Sep 20, 2021","1,212.55","1,212.55","1,194.57","1,205.22","152,456,407"
,"Sep 21, 2021","1,212.12","1,217.08","1,208.94","1,211.14","115,210,818"
,"Sep 22, 2021","1,219.11","1,224.52","1,219.11","1,220.32","103,562,886"
,"Sep 23, 2021","1,220.94","1,227.35","1,220.25","1,224.77","125,049,655"
,"Sep 24, 2021","1,222.42","1,224.19","1,219.93","1,221.73","85,363,060"
,"Sep 27, 2021","1,223.50","1,227.82","1,222.81","1,225.97","137,609,315"
,"Sep 28, 2021","1,221.16","1,221.16","1,205.74","1,209.00","115,520,472"
,"Sep 29, 2021","1,213.03","1,216.84","1,209.31","1,209.60","105,239,682"
,"Sep 30, 2021","1,211.46","1,214.37","1,202.46","1,203.34","117,755,410"
,"Oct 1, 2021","1,206.59","1,211.75","1,197.14","1,208.44","96,896,828"
,"Oct 4, 2021","1,204.34","1,209.84","1,198.63","1,203.84","107,803,301"
,"Oct 5, 2021","1,207.44","1,214.69","1,205.10","1,211.39","124,310,575"
,"Oct 6, 2021","1,204.41","1,213.43","1,202.66","1,213.09","119,224,428"
,"Oct 7, 2021","1,219.45","1,228.49","1,219.45","1,225.42","87,638,227"
,"Oct 8, 2021","1,228.10","1,231.56","1,226.50","1,226.76","87,588,325"
,"Oct 12, 2021","1,225.88","1,229.62","1,223.89","1,226.31","137,012,520"
,"Oct 13, 2021","1,228.10","1,236.03","1,224.76","1,235.85","110,786,464"
,"Oct 14, 2021","1,243.10","1,248.98","1,242.73","1,247.86","127,703,001"
,"Oct 15, 2021","1,252.52","1,258.73","1,251.45","1,256.43","94,922,119"
,"Oct 18, 2021","1,254.49","1,261.31","1,252.20","1,261.31","96,876,878"
,"Oct 19, 2021","1,265.01","1,266.64","1,262.87","1,266.31","87,503,613"
,"Oct 20, 2021","1,265.55","1,273.02","1,264.88","1,272.92","91,851,997"
,"Oct 21, 2021","1,269.53","1,274.96","1,269.19","1,274.33","75,772,262"
,"Oct 22, 2021","1,274.11","1,276.55","1,269.13","1,274.54","84,816,061"
,"Oct 25, 2021","1,275.46","1,278.51","1,272.26","1,277.24","125,416,931"
,"Oct 26, 2021","1,278.89","1,278.89","1,270.34","1,270.90","88,081,573"
,"Oct 27, 2021","1,270.71","1,270.71","1,258.50","1,258.50","91,882,785"
,"Oct 28, 2021","1,260.98","1,275.39","1,260.80","1,274.18","92,334,870"
,"Oct 29, 2021","1,269.26","1,272.27","1,265.17","1,265.19","130,844,817"
,"Nov 1, 2021","1,270.27","1,278.51","1,269.23","1,277.87","94,484,935"
,"Nov 2, 2021","1,278.26","1,278.85","1,272.87","1,273.37","90,502,627"
,"Nov 3, 2021","1,274.14","1,279.56","1,272.93","1,278.20","78,919,184"
,"Nov 4, 2021","1,283.49","1,286.60","1,280.49","1,285.35","130,868,520"
,"Nov 5, 2021","1,289.36","1,293.26","1,286.99","1,290.01","141,233,800"
,"Nov 8, 2021","1,295.00","1,297.49","1,293.53","1,294.47","159,724,440"
,"Nov 9, 2021","1,294.89","1,298.06","1,290.96","1,297.85","126,066,345"
,"Nov 10, 2021","1,295.79","1,297.64","1,288.30","1,290.78","91,745,747"
,"Nov 11, 2021","1,299.53","1,299.70","1,295.65","1,296.22","77,094,801"
,"Nov 12, 2021","1,297.19","1,309.97","1,296.87","1,309.76","120,801,409"
,"Nov 15, 2021","1,309.04","1,310.54","1,303.15","1,304.92","144,390,562"
,"Nov 16, 2021","1,307.29","1,312.65","1,306.22","1,307.01","105,908,656"
,"Nov 17, 2021","1,306.43","1,308.90","1,301.23","1,303.07","115,866,650"
,"Nov 18, 2021","1,303.07","1,306.03","1,298.87","1,304.79","108,415,200"
,"Nov 19, 2021","1,301.90","1,305.02","1,298.74","1,300.29","103,718,519"
,"Nov 22, 2021","1,303.35","1,303.35","1,292.04","1,292.14","125,083,797"
,"Nov 23, 2021","1,293.07","1,299.21","1,289.90","1,296.43","148,468,048"
,"Nov 24, 2021","1,291.89","1,302.98","1,289.42","1,302.37","108,159,727"
,"Nov 25, 2021","1,304.45","1,309.28","1,303.51","1,306.77","47,745,108"
,"Nov 26, 2021","1,293.46","1,293.46","1,275.20","1,277.41","134,736,913"
,"Nov 29, 2021","1,284.81","1,288.19","1,271.81","1,278.28","139,925,186"
,"Nov 30, 2021","1,273.34","1,276.53","1,248.56","1,248.56","256,142,006"
,"Dec 1, 2021","1,265.55","1,271.05","1,239.19","1,239.33","141,561,090"
,"Dec 2, 2021","1,242.31","1,263.27","1,240.71","1,257.81","139,892,569"
,"Dec 3, 2021","1,260.76","1,261.55","1,242.93","1,251.60","123,791,002"
,"Dec 6, 2021","1,254.06","1,266.53","1,250.06","1,264.32","160,430,491"
,"Dec 7, 2021","1,274.75","1,284.80","1,274.67","1,281.41","121,025,796"
,"Dec 8, 2021","1,279.62","1,279.62","1,275.40","1,277.68","95,898,810"
,"Dec 9, 2021","1,271.77","1,274.56","1,267.32","1,269.46","124,717,431"
,"Dec 10, 2021","1,274.58","1,275.43","1,264.59","1,268.11","107,996,663"
,"Dec 13, 2021","1,267.50","1,269.14","1,255.07","1,259.00","236,289,213"
,"Dec 14, 2021","1,251.74","1,263.40","1,251.74","1,255.34","108,078,737"
,"Dec 15, 2021","1,256.31","1,265.31","1,250.14","1,263.18","156,453,351"
,"Dec 16, 2021","1,270.27","1,275.84","1,259.19","1,260.71","120,221,803"
,"Dec 17, 2021","1,251.61","1,267.33","1,251.61","1,259.39","235,385,773"
,"Dec 20, 2021","1,248.75","1,249.56","1,239.54","1,248.34","122,501,831"
,"Dec 21, 2021","1,259.50","1,272.47","1,259.50","1,270.45","86,918,027"
,"Dec 22, 2021","1,268.54","1,279.42","1,267.62","1,279.11","71,894,350"
,"Dec 23, 2021","1,282.26","1,291.49","1,282.10","1,288.81","97,622,138"
,"Dec 24, 2021","1,289.68","1,291.48","1,288.48","1,288.54","16,683,052"
,"Dec 29, 2021","1,291.74","1,301.23","1,291.74","1,296.34","115,205,009"
,"Dec 30, 2021","1,296.07","1,301.42","1,292.33","1,292.46","69,446,939"
,"Dec 31, 2021","1,289.64","1,291.36","1,284.34","1,286.98","55,170,821"
,"Jan 4, 2022","1,294.20","1,303.52","1,287.03","1,287.43","140,539,596"
,"Jan 5, 2022","1,290.29","1,292.62","1,277.49","1,277.75","142,226,191"
,"Jan 6, 2022","1,278.84","1,285.35","1,272.57","1,280.63","109,183,036"
,"Jan 7, 2022","1,279.65","1,282.96","1,273.15","1,281.70","90,191,415"
,"Jan 10, 2022","1,278.24","1,282.56","1,264.95","1,282.56","117,711,887"
,"Jan 11, 2022","1,282.93","1,293.82","1,277.75","1,293.13","125,972,924"
,"Jan 12, 2022","1,296.27","1,303.54","1,293.91","1,300.30","128,763,508"
,"Jan 13, 2022","1,302.11","1,304.50","1,292.57","1,293.69","108,042,104"
,"Jan 14, 2022","1,287.25","1,300.94","1,287.03","1,300.29","120,311,155"
,"Jan 17, 2022","1,301.12","1,312.56","1,301.12","1,311.55","48,637,561"
,"Jan 18, 2022","1,301.46","1,301.52","1,290.03","1,295.06","132,044,009"
,"Jan 19, 2022","1,298.55","1,298.90","1,286.65","1,289.08","124,909,156"
,"Jan 20, 2022","1,290.97","1,298.23","1,279.17","1,280.21","111,569,761"
,"Jan 21, 2022","1,271.60","1,272.25","1,248.27","1,254.05","144,097,862"
,"Jan 24, 2022","1,244.60","1,251.36","1,211.63","1,251.09","199,265,393"
,"Jan 25, 2022","1,237.83","1,261.69","1,224.01","1,252.11","131,948,211"
,"Jan 26, 2022","1,263.38","1,272.26","1,247.18","1,253.09","131,878,419"
,"Jan 27, 2022","1,263.67","1,268.84","1,248.73","1,250.86","125,153,862"
,"Jan 28, 2022","1,250.14","1,260.96","1,241.91","1,260.96","111,777,976"
,"Jan 31, 2022","1,258.27","1,282.65","1,257.55","1,281.96","125,984,991"
,"Feb 1, 2022","1,284.98","1,294.87","1,280.44","1,294.70","121,841,857"
,"Feb 2, 2022","1,296.95","1,301.92","1,293.95","1,299.04","118,533,720"
,"Feb 3, 2022","1,287.73","1,290.89","1,281.88","1,282.65","121,247,503"
,"Feb 4, 2022","1,286.88","1,298.76","1,286.88","1,294.06","99,921,564"
,"Feb 7, 2022","1,293.53","1,297.31","1,286.53","1,291.31","140,256,856"
,"Feb 8, 2022","1,292.41","1,301.36","1,290.65","1,299.55","144,706,155"
,"Feb 9, 2022","1,308.08","1,315.11","1,308.08","1,311.03","107,247,691"
,"Feb 10, 2022","1,307.10","1,321.99","1,304.57","1,307.14","153,116,842"
,"Feb 11, 2022","1,306.72","1,314.47","1,300.11","1,307.77","155,693,008"
,"Feb 14, 2022","1,304.94","1,304.94","1,289.82","1,294.99","165,915,834"
,"Feb 15, 2022","1,297.86","1,303.54","1,296.77","1,303.05","146,536,970"
,"Feb 16, 2022","1,293.41","1,298.70","1,291.40","1,294.37","130,891,900"
,"Feb 17, 2022","1,292.79","1,295.06","1,280.76","1,281.53","118,296,252"
,"Feb 18, 2022","1,282.47","1,284.14","1,273.04","1,273.61","104,819,340"
,"Feb 22, 2022","1,268.43","1,274.30","1,256.90","1,267.42","181,480,116"
,"Feb 23, 2022","1,270.28","1,271.62","1,255.13","1,256.79","145,379,905"
,"Feb 24, 2022","1,240.56","1,257.67","1,234.58","1,257.17","202,969,091"
,"Feb 25, 2022","1,262.13","1,280.38","1,259.04","1,279.66","116,683,924"
,"Feb 28, 2022","1,272.25","1,279.54","1,267.96","1,278.42","205,683,627"
,"Mar 1, 2022","1,278.83","1,282.45","1,263.51","1,268.65","155,318,206"
,"Mar 2, 2022","1,272.26","1,288.46","1,272.26","1,286.08","144,323,555"
,"Mar 3, 2022","1,287.36","1,293.72","1,285.05","1,287.39","155,942,490"
,"Mar 4, 2022","1,283.98","1,298.91","1,283.66","1,298.49","154,501,991"
,"Mar 7, 2022","1,296.18","1,309.40","1,292.54","1,293.02","201,322,541"
,"Mar 8, 2022","1,293.50","1,302.05","1,284.38","1,285.27","200,225,952"
,"Mar 9, 2022","1,291.69","1,305.42","1,286.44","1,301.34","161,608,897"
,"Mar 10, 2022","1,294.52","1,307.29","1,293.39","1,305.81","149,160,407"
,"Mar 11, 2022","1,303.03","1,309.52","1,299.13","1,299.60","147,788,939"
,"Mar 14, 2022","1,298.28","1,299.36","1,282.31","1,286.29","168,268,477"
,"Mar 15, 2022","1,280.50","1,286.63","1,273.01","1,285.41","159,335,253"
,"Mar 16, 2022","1,291.90","1,302.37","1,285.01","1,301.33","155,598,253"
,"Mar 17, 2022","1,303.77","1,318.35","1,302.84","1,318.22","103,861,034"
,"Mar 18, 2022","1,314.32","1,324.12","1,313.50","1,320.60","352,174,449"
,"Mar 21, 2022","1,326.84","1,334.10","1,326.28","1,332.97","123,278,092"
,"Mar 22, 2022","1,336.98","1,341.61","1,335.31","1,336.76","126,723,758"
,"Mar 23, 2022","1,336.45","1,337.28","1,325.82","1,325.82","139,278,177"
,"Mar 24, 2022","1,330.96","1,331.21","1,322.27","1,326.24","111,786,289"
,"Mar 25, 2022","1,326.63","1,331.54","1,324.62","1,330.74","115,462,351"
,"Mar 28, 2022","1,328.00","1,331.47","1,324.09","1,331.10","107,935,737"
,"Mar 29, 2022","1,331.08","1,337.17","1,326.45","1,335.65","125,263,457"
,"Mar 30, 2022","1,334.22","1,337.21","1,330.86","1,334.79","118,643,873"
,"Mar 31, 2022","1,337.08","1,341.04","1,322.67","1,322.67","128,890,503"
,"Apr 1, 2022","1,328.57","1,332.31","1,320.08","1,326.57","116,342,303"
,"Apr 4, 2022","1,327.79","1,336.39","1,325.25","1,336.07","141,387,073"
,"Apr 5, 2022","1,333.85","1,344.63","1,328.69","1,329.63","133,659,436"
,"Apr 6, 2022","1,325.08","1,327.27","1,317.61","1,322.30","95,654,713"
,"Apr 7, 2022","1,322.49","1,323.96","1,311.34","1,323.03","99,222,182"
,"Apr 8, 2022","1,325.70","1,329.71","1,322.10","1,324.37","82,438,647"
,"Apr 11, 2022","1,324.42","1,326.42","1,318.13","1,320.55","146,425,786"
,"Apr 12, 2022","1,326.10","1,328.69","1,313.97","1,314.91","112,959,224"
,"Apr 13, 2022","1,318.32","1,322.59","1,314.67","1,319.34","90,161,576"
,"Apr 14, 2022","1,320.96","1,325.95","1,320.54","1,320.93","114,921,154"
,"Apr 18, 2022","1,320.83","1,327.69","1,320.01","1,321.81","101,583,107"
,"Apr 19, 2022","1,320.94","1,332.17","1,319.34","1,331.19","89,394,627"
,"Apr 20, 2022","1,330.54","1,333.08","1,326.13","1,328.91","96,266,740"
,"Apr 21, 2022","1,334.27","1,334.68","1,308.11","1,310.19","116,479,772"
,"Apr 22, 2022","1,307.07","1,307.07","1,281.52","1,281.87","145,102,861"
,"Apr 25, 2022","1,268.73","1,274.84","1,251.78","1,270.88","159,858,234"
,"Apr 26, 2022","1,271.11","1,271.48","1,252.60","1,252.60","123,589,715"
,"Apr 27, 2022","1,255.69","1,262.98","1,248.02","1,255.67","109,084,446"
,"Apr 28, 2022","1,265.34","1,283.48","1,261.24","1,277.98","144,200,320"
,"Apr 29, 2022","1,271.62","1,279.39","1,254.93","1,255.54","141,483,377"
,"May 2, 2022","1,253.68","1,257.37","1,239.87","1,254.38","126,627,578"
,"May 3, 2022","1,256.46","1,274.55","1,255.98","1,266.84","108,153,543"
,"May 4, 2022","1,270.56","1,283.20","1,259.80","1,281.56","133,289,359"
,"May 5, 2022","1,276.74","1,276.74","1,244.69","1,253.28","128,830,181"
,"May 6, 2022","1,251.53","1,256.04","1,237.49","1,250.59","128,341,563"
,"May 9, 2022","1,236.75","1,236.75","1,213.09","1,215.79","152,225,822"
,"May 10, 2022","1,225.71","1,231.19","1,201.34","1,209.27","169,042,432"
,"May 11, 2022","1,210.63","1,226.49","1,203.29","1,206.56","158,397,647"
,"May 12, 2022","1,197.34","1,204.13","1,185.77","1,199.50","141,520,722"
,"May 13, 2022","1,209.50","1,225.66","1,209.50","1,219.96","128,190,149"
,"May 16, 2022","1,220.96","1,232.08","1,217.30","1,225.84","169,229,860"
,"May 17, 2022","1,239.21","1,242.57","1,232.13","1,240.87","143,845,420"
,"May 18, 2022","1,236.76","1,236.76","1,214.29","1,217.95","143,004,761"
,"May 19, 2022","1,206.15","1,229.73","1,204.82","1,220.35","131,989,815"
,"May 20, 2022","1,229.48","1,231.22","1,206.57","1,222.49","96,980,283"
,"May 24, 2022","1,231.32","1,232.20","1,220.44","1,228.90","163,473,024"
,"May 25, 2022","1,229.73","1,238.08","1,228.08","1,233.69","102,319,669"
,"May 26, 2022","1,237.83","1,247.22","1,237.43","1,241.28","148,800,719"
,"May 27, 2022","1,244.86","1,257.58","1,244.39","1,255.40","141,749,645"
,"May 30, 2022","1,260.76","1,266.95","1,258.89","1,265.36","55,588,129"
,"May 31, 2022","1,258.91","1,265.04","1,252.98","1,254.79","275,338,578"
,"Jun 1, 2022","1,260.01","1,262.68","1,247.68","1,253.84","128,085,095"
,"Jun 2, 2022","1,253.64","1,271.50","1,253.64","1,271.13","105,743,425"
,"Jun 3, 2022","1,264.06","1,265.25","1,254.08","1,256.72","83,379,531"
,"Jun 6, 2022","1,263.35","1,265.00","1,256.26","1,257.79","141,538,974"
,"Jun 7, 2022","1,252.27","1,263.36","1,250.49","1,263.26","114,250,225"
,"Jun 8, 2022","1,260.02","1,261.83","1,249.68","1,254.51","116,274,078"
,"Jun 9, 2022","1,250.38","1,254.71","1,241.63","1,241.63","119,560,782"
,"Jun 10, 2022","1,231.33","1,231.33","1,219.22","1,223.33","131,585,190"
,"Jun 13, 2022","1,205.57","1,205.57","1,186.46","1,194.52","174,582,550"
,"Jun 14, 2022","1,200.23","1,200.43","1,177.74","1,184.58","173,187,805"
,"Jun 15, 2022","1,191.15","1,194.96","1,173.72","1,186.75","134,549,117"
,"Jun 16, 2022","1,167.07","1,169.13","1,148.35","1,151.43","128,107,797"
,"Jun 17, 2022","1,155.64","1,163.08","1,140.00","1,148.51","300,585,080"
,"Jun 20, 2022","1,151.26","1,164.84","1,151.26","1,164.55","59,963,551"
,"Jun 21, 2022","1,167.41","1,175.41","1,166.97","1,168.07","153,525,992"
,"Jun 22, 2022","1,150.73","1,163.67","1,146.23","1,155.42","138,396,922"
,"Jun 23, 2022","1,157.43","1,159.58","1,136.68","1,138.99","142,585,010"
,"Jun 24, 2022","1,145.79","1,160.14","1,145.53","1,158.26","125,957,839"
,"Jun 27, 2022","1,164.26","1,171.68","1,158.16","1,169.53","160,161,981"
,"Jun 28, 2022","1,178.34","1,184.23","1,163.40","1,166.40","131,397,316"
,"Jun 29, 2022","1,169.13","1,169.59","1,155.87","1,160.09","97,039,296"
,"Jun 30, 2022","1,145.91","1,148.73","1,135.69","1,146.43","130,641,619"
,"Jul 4, 2022","1,151.10","1,162.43","1,150.86","1,155.67","50,532,717"
,"Jul 5, 2022","1,148.12","1,150.45","1,128.05","1,147.46","173,019,242"
,"Jul 6, 2022","1,145.28","1,148.96","1,131.27","1,140.84","155,718,188"
,"Jul 7, 2022","1,148.28","1,159.47","1,148.28","1,157.81","123,618,685"
,"Jul 8, 2022","1,157.39","1,159.77","1,148.37","1,155.66","88,698,438"
,"Jul 11, 2022","1,149.29","1,152.32","1,142.32","1,144.27","123,494,622"
,"Jul 12, 2022","1,138.20","1,143.72","1,132.08","1,135.97","111,192,952"
,"Jul 13, 2022","1,126.62","1,136.46","1,118.15","1,131.71","108,472,904"
,"Jul 14, 2022","1,122.73","1,123.89","1,104.88","1,112.40","194,307,346"
,"Jul 15, 2022","1,122.27","1,122.67","1,112.30","1,116.13","106,017,158"
,"Jul 18, 2022","1,127.12","1,134.61","1,123.56","1,125.57","151,584,813"
,"Jul 19, 2022","1,132.72","1,146.57","1,132.35","1,145.84","113,013,481"
,"Jul 20, 2022","1,144.29","1,152.26","1,140.45","1,150.07","89,844,477"
,"Jul 21, 2022","1,146.42","1,153.46","1,141.89","1,153.43","104,437,064"
,"Jul 22, 2022","1,154.51","1,157.51","1,144.45","1,149.48","80,753,254"
,"Jul 25, 2022","1,150.48","1,157.81","1,148.98","1,156.35","116,464,874"
,"Jul 26, 2022","1,152.93","1,155.92","1,145.46","1,148.60","104,610,695"
,"Jul 27, 2022","1,153.60","1,169.80","1,153.60","1,165.43","118,493,604"
,"Jul 28, 2022","1,170.45","1,176.60","1,159.80","1,175.35","121,530,813"
,"Jul 29, 2022","1,179.96","1,190.95","1,179.96","1,187.97","116,780,958"