Date,Open,High,Low,Close,Volume
"Aug 2, 2021",105.93,110.33,103.83,108.63,"115,581,854"
"Aug 3, 2021",108.15,114.85,107.66,112.56,"157,723,142"
"Aug 4, 2021",114.36,122.49,114.16,118.77,"225,368,699"
"Aug 5, 2021",116.63,117.68,111.59,112.35,"137,860,865"
"Aug 6, 2021",110.55,116.26,109.70,110.11,"143,899,026"
"Aug 9, 2021",111.31,112.33,107.06,107.58,"115,749,943"
"Aug 10, 2021",107.90,109.17,104.36,106.48,"113,012,297"
"Aug 11, 2021",107.60,109.79,105.62,107.68,"91,788,289"
"Aug 12, 2021",107.39,108.44,105.86,106.50,"60,625,725"
"Aug 13, 2021",107.17,111.71,106.57,110.55,"100,135,745"
"Aug 16, 2021",110.20,111.58,105.87,107.48,"73,398,938"
"Aug 17, 2021",106.64,108.70,105.35,107.56,"74,053,905"
"Aug 18, 2021",107.35,108.07,103.27,103.44,"79,387,943"
"Aug 19, 2021",103.32,106.18,101.98,103.70,"71,117,494"
"Aug 20, 2021",104.32,105.98,103.99,104.65,"55,227,562"
"Aug 23, 2021",105.30,109.02,104.86,108.77,"68,835,281"
"Aug 24, 2021",109.45,109.61,107.28,107.65,"51,239,297"
"Aug 25, 2021",108.13,109.91,107.45,108.30,"45,485,504"
"Aug 26, 2021",108.57,109.23,106.84,107.27,"51,442,548"
"Aug 27, 2021",108.01,111.78,107.80,111.40,"61,030,014"
"Aug 30, 2021",112.61,114.49,111.26,111.32,"56,130,467"
"Aug 31, 2021",111.26,111.26,109.03,110.72,"49,338,955"
"Sep 1, 2021",111.30,111.85,109.85,109.99,"38,579,559"
"Sep 2, 2021",110.32,110.88,108.77,109.20,"40,108,763"
"Sep 3, 2021",108.85,111.17,108.50,109.92,"42,623,780"
"Sep 7, 2021",109.96,110.58,108.66,109.15,"28,815,232"
"Sep 8, 2021",108.88,109.30,105.52,106.17,"43,067,911"
"Sep 9, 2021",106.56,107.30,105.84,106.15,"31,857,873"
"Sep 10, 2021",106.99,106.99,104.98,105.20,"32,602,293"
"Sep 13, 2021",105.26,105.28,102.63,104.80,"37,767,787"
"Sep 14, 2021",105.52,106.82,104.42,105.73,"40,629,527"
"Sep 15, 2021",106.00,106.32,104.03,105.60,"37,998,941"
"Sep 16, 2021",104.92,106.75,103.76,106.22,"38,150,269"
"Sep 17, 2021",105.56,105.98,103.71,103.88,"44,528,337"
"Sep 20, 2021",101.58,102.51,99.51,101.55,"45,228,411"
"Sep 21, 2021",102.15,103.43,101.18,102.82,"35,481,501"
"Sep 22, 2021",102.82,104.56,102.21,104.38,"34,126,280"
"Sep 23, 2021",104.89,106.86,103.89,106.15,"32,816,657"
"Sep 24, 2021",105.19,106.05,104.68,105.80,"26,482,610"
"Sep 27, 2021",105.07,108.44,103.44,108.16,"51,944,349"
"Sep 28, 2021",106.84,107.65,101.42,101.52,"74,468,968"
"Sep 29, 2021",102.30,102.66,99.81,100.35,"52,224,721"
"Sep 30, 2021",102.08,104.44,101.99,102.90,"57,636,700"
"Oct 1, 2021",102.60,103.00,100.64,102.45,"41,491,585"
"Oct 4, 2021",101.74,101.85,99.82,100.34,"41,967,149"
"Oct 5, 2021",100.92,102.87,100.61,101.81,"31,455,249"
"Oct 6, 2021",100.45,103.72,100.35,103.64,"39,071,703"
"Oct 7, 2021",104.60,107.95,104.46,106.45,"41,543,109"
"Oct 8, 2021",106.55,107.28,104.89,105.06,"30,623,047"
"Oct 11, 2021",104.62,107.20,104.02,104.68,"31,284,389"
"Oct 12, 2021",105.17,106.04,104.34,105.04,"34,039,906"
"Oct 13, 2021",106.28,109.88,106.25,109.16,"55,631,917"
"Oct 14, 2021",110.50,112.22,109.63,111.99,"46,900,157"
"Oct 15, 2021",112.51,112.84,111.11,112.12,"34,203,008"
"Oct 18, 2021",111.90,116.88,111.37,116.43,"47,537,763"
"Oct 19, 2021",116.16,117.17,114.47,116.33,"39,593,938"
"Oct 20, 2021",116.29,118.30,115.42,116.39,"34,244,811"
"Oct 21, 2021",116.50,119.68,116.26,119.33,"34,794,945"
"Oct 22, 2021",120.83,121.56,118.37,119.82,"38,992,694"
"Oct 25, 2021",120.52,123.46,118.60,122.36,"47,834,118"
"Oct 26, 2021",122.99,127.20,122.58,122.93,"59,458,928"
"Oct 27, 2021",121.63,128.08,121.05,122.28,"98,245,324"
"Oct 28, 2021",122.86,123.50,120.26,121.16,"58,002,459"
"Oct 29, 2021",120.95,122.57,119.88,120.23,"43,320,125"
"Nov 1, 2021",119.45,125.67,118.13,125.23,"54,559,780"
"Nov 2, 2021",124.98,128.46,124.20,127.63,"53,491,937"
"Nov 3, 2021",127.75,130.60,126.79,130.53,"59,537,815"
"Nov 4, 2021",132.01,139.00,130.77,137.50,"84,825,156"
"Nov 5, 2021",139.19,141.22,134.42,136.34,"64,920,597"
"Nov 8, 2021",137.70,153.60,137.70,150.16,"141,493,842"
"Nov 9, 2021",154.01,155.65,143.89,148.92,"98,442,597"
"Nov 10, 2021",143.93,146.30,138.52,139.87,"82,989,151"
"Nov 11, 2021",142.96,146.47,140.84,146.01,"67,934,845"
"Nov 12, 2021",146.03,148.59,144.25,147.89,"52,162,136"
"Nov 15, 2021",148.00,148.98,142.86,146.49,"52,271,271"
"Nov 16, 2021",145.93,153.08,145.34,152.45,"53,100,810"
"Nov 17, 2021",151.98,154.66,149.69,151.34,"54,527,482"
"Nov 18, 2021",157.07,158.89,152.56,155.02,"60,612,733"
"Nov 19, 2021",155.76,156.92,153.45,155.41,"41,668,862"
"Nov 22, 2021",157.14,161.88,152.39,152.52,"58,674,078"
"Nov 23, 2021",150.41,152.66,145.30,149.92,"62,852,705"
"Nov 24, 2021",149.46,157.93,147.19,157.80,"60,677,062"
"Nov 26, 2021",155.80,158.10,152.81,154.81,"36,245,068"
"Nov 29, 2021",157.50,162.51,156.10,161.91,"57,438,867"
"Nov 30, 2021",163.28,164.46,155.68,158.37,"75,182,545"
"Dec 1, 2021",160.37,160.88,148.92,149.11,"64,185,119"
"Dec 2, 2021",147.68,152.53,146.47,150.68,"56,161,216"
"Dec 3, 2021",151.65,152.38,140.72,144.01,"65,910,028"
"Dec 6, 2021",141.14,141.31,134.20,139.06,"66,776,493"
"Dec 7, 2021",143.90,145.76,141.00,144.85,"53,359,432"
"Dec 8, 2021",144.96,147.04,142.70,145.24,"40,977,478"
"Dec 9, 2021",145.16,146.69,137.80,138.10,"53,019,926"
"Dec 10, 2021",141.29,141.37,135.82,138.55,"42,224,275"
"Dec 13, 2021",138.25,139.40,133.42,133.80,"42,173,963"
"Dec 14, 2021",131.67,137.24,130.60,135.60,"50,754,642"
"Dec 15, 2021",135.11,146.69,133.81,146.50,"72,425,783"
"Dec 16, 2021",147.00,147.93,137.02,138.64,"63,369,550"
"Dec 17, 2021",136.30,142.04,136.11,137.75,"55,692,280"
"Dec 20, 2021",135.97,138.26,133.52,135.80,"38,195,396"
"Dec 21, 2021",138.19,144.50,135.15,144.25,"57,785,243"
"Dec 22, 2021",142.65,144.50,140.27,143.88,"46,923,682"
"Dec 23, 2021",143.89,149.02,143.85,146.14,"48,653,789"
"Dec 27, 2021",147.51,154.89,147.25,154.36,"53,296,375"
"Dec 28, 2021",155.88,156.73,151.38,153.15,"58,699,069"
"Dec 29, 2021",152.82,154.34,147.29,148.26,"51,300,205"
"Dec 30, 2021",147.44,148.85,144.85,145.15,"44,357,997"
"Dec 31, 2021",146.16,148.61,143.55,143.90,"49,448,144"
"Jan 3, 2022",145.14,151.65,145.02,150.24,"59,477,667"
"Jan 4, 2022",151.01,152.42,140.70,144.42,"80,200,455"
"Jan 5, 2022",142.82,143.76,135.29,136.15,"65,403,174"
"Jan 6, 2022",136.19,138.00,131.77,136.23,"64,802,937"
"Jan 7, 2022",136.28,137.44,131.13,132.00,"58,441,104"
"Jan 10, 2022",129.08,132.42,125.03,132.00,"84,671,336"
"Jan 11, 2022",133.45,138.99,131.59,137.31,"77,153,906"
"Jan 12, 2022",138.59,140.57,135.77,137.47,"69,669,598"
"Jan 13, 2022",139.44,141.25,131.81,132.74,"76,618,059"
"Jan 14, 2022",131.68,137.00,131.43,136.88,"71,078,438"
"Jan 18, 2022",134.50,136.39,131.59,131.93,"56,589,456"
"Jan 19, 2022",133.55,134.57,128.02,128.27,"69,831,849"
"Jan 20, 2022",126.04,128.51,121.41,121.89,"91,157,293"
"Jan 21, 2022",120.14,125.02,118.39,118.81,"95,685,268"
"Jan 24, 2022",115.40,116.77,107.50,116.53,"116,301,816"
"Jan 25, 2022",114.10,114.82,109.86,111.13,"85,102,907"
"Jan 26, 2022",114.55,117.16,108.63,110.71,"94,752,613"
"Jan 27, 2022",111.96,112.75,101.94,102.60,"125,954,124"
"Jan 28, 2022",101.55,105.40,99.35,105.24,"98,749,521"
"Jan 31, 2022",107.93,114.31,106.90,114.25,"97,205,994"
"Feb 1, 2022",116.75,117.26,112.73,116.78,"122,467,874"
"Feb 2, 2022",129.89,130.06,120.64,122.76,"180,064,993"
"Feb 3, 2022",120.32,125.37,118.82,120.08,"103,599,467"
"Feb 4, 2022",120.34,124.96,118.58,123.60,"86,212,008"
"Feb 7, 2022",123.56,127.63,122.79,123.67,"81,672,504"
"Feb 8, 2022",122.38,128.71,122.05,128.23,"84,902,753"
"Feb 9, 2022",129.60,132.96,127.65,132.85,"92,948,862"
"Feb 10, 2022",128.84,131.76,124.61,125.77,"108,939,859"
"Feb 11, 2022",126.14,127.17,111.81,113.18,"164,723,241"
"Feb 14, 2022",115.51,118.37,113.46,114.27,"135,146,410"
"Feb 15, 2022",117.19,121.88,114.36,121.47,"144,139,671"
"Feb 16, 2022",119.05,119.54,114.22,117.69,"119,109,631"
"Feb 17, 2022",116.26,116.98,112.26,112.37,"98,179,641"
"Feb 18, 2022",113.90,115.64,109.89,113.83,"114,321,231"
"Feb 22, 2022",115.27,119.20,113.61,115.65,"141,648,454"
"Feb 23, 2022",117.40,118.65,109.04,109.76,"120,299,433"
"Feb 24, 2022",104.56,116.96,104.26,116.61,"142,956,572"
"Feb 25, 2022",117.16,121.23,116.04,121.06,"127,820,983"
"Feb 28, 2022",120.31,124.61,119.20,123.34,"124,666,142"
"Mar 1, 2022",122.33,122.43,112.80,113.83,"126,552,244"
"Mar 2, 2022",115.47,119.48,113.31,118.28,"118,354,509"
"Mar 3, 2022",118.13,118.26,111.05,111.98,"123,916,721"
"Mar 4, 2022",112.00,113.00,106.81,108.41,"100,671,339"
"Mar 7, 2022",108.53,109.53,102.82,102.95,"92,599,972"
"Mar 8, 2022",102.81,109.90,100.08,105.53,"135,348,316"
"Mar 9, 2022",108.41,111.71,106.85,111.05,"102,310,329"
"Mar 10, 2022",108.89,109.07,103.07,106.46,"102,557,375"
"Mar 11, 2022",108.13,108.19,104.08,104.29,"87,584,432"
"Mar 14, 2022",102.99,105.24,101.04,102.25,"89,731,676"
"Mar 15, 2022",102.66,109.69,101.79,109.33,"112,425,543"
"Mar 16, 2022",111.60,115.42,109.89,115.37,"113,689,804"
"Mar 17, 2022",112.14,114.27,109.71,111.69,"103,201,695"
"Mar 18, 2022",111.28,114.93,110.55,113.46,"105,834,793"
"Mar 21, 2022",113.73,117.57,112.54,115.92,"101,905,850"
"Mar 22, 2022",115.43,117.95,113.81,114.78,"101,672,560"
"Mar 23, 2022",114.29,117.55,112.21,113.92,"90,579,150"
"Mar 24, 2022",114.96,120.55,113.71,120.53,"121,961,329"
"Mar 25, 2022",119.92,121.40,117.25,119.67,"95,852,381"
"Mar 28, 2022",117.70,120.41,116.71,120.24,"92,966,149"
"Mar 29, 2022",122.28,123.71,119.59,123.23,"94,143,028"
"Mar 30, 2022",123.04,125.67,118.59,119.22,"99,476,946"
"Mar 31, 2022",116.31,116.38,109.02,109.34,"147,004,790"
"Apr 1, 2022",110.48,111.42,106.10,108.19,"111,867,074"
"Apr 4, 2022",109.97,110.94,107.03,110.53,"90,220,034"
"Apr 5, 2022",109.69,110.48,106.05,106.82,"79,531,959"
"Apr 6, 2022",104.45,105.74,101.71,103.67,"105,256,602"
"Apr 7, 2022",103.92,105.24,100.91,103.72,"91,895,526"
"Apr 8, 2022",102.51,102.99,100.42,101.00,"92,746,663"
"Apr 11, 2022",98.60,98.67,95.94,97.37,"95,527,655"
"Apr 12, 2022",98.78,99.59,94.60,95.10,"89,246,449"
"Apr 13, 2022",95.30,98.33,94.71,97.74,"77,728,418"
"Apr 14, 2022",98.37,98.39,92.92,93.06,"73,354,367"
"Apr 18, 2022",92.03,95.16,91.64,93.89,"80,605,752"
"Apr 19, 2022",93.39,97.07,92.84,96.93,"77,069,496"
"Apr 20, 2022",97.84,97.91,93.20,94.02,"62,489,047"
"Apr 21, 2022",95.16,96.23,89.24,89.85,"76,680,635"
"Apr 22, 2022",90.03,91.46,87.94,88.14,"75,017,652"
"Apr 25, 2022",89.86,91.37,88.61,90.69,"93,481,042"
"Apr 26, 2022",89.74,90.12,85.08,85.16,"89,127,399"
"Apr 27, 2022",84.25,87.90,84.02,84.91,"83,125,054"
"Apr 28, 2022",86.67,90.58,84.78,89.64,"91,495,449"
"Apr 29, 2022",88.05,91.79,85.38,85.52,"82,647,701"
"May 2, 2022",85.66,90.37,85.32,89.84,"98,304,091"
"May 3, 2022",89.85,92.21,89.01,91.13,"126,381,846"
"May 4, 2022",98.18,99.69,91.70,99.42,"225,394,075"
"May 5, 2022",97.65,97.84,92.17,93.87,"153,129,770"
"May 6, 2022",94.34,98.18,92.65,95.34,"144,286,560"
"May 9, 2022",92.87,93.74,85.38,86.36,"144,523,668"
"May 10, 2022",89.18,90.77,85.41,88.73,"137,235,451"
"May 11, 2022",87.84,93.46,86.53,87.92,"136,137,858"
"May 12, 2022",86.60,88.55,83.27,87.06,"129,214,223"
"May 13, 2022",88.30,96.57,88.22,95.12,"138,068,073"
"May 16, 2022",93.86,98.17,93.08,94.24,"131,065,665"
"May 17, 2022",97.88,103.20,97.54,102.47,"164,227,181"
"May 18, 2022",100.00,104.22,95.71,96.28,"142,603,246"
"May 19, 2022",96.69,100.69,95.09,96.67,"141,506,169"
"May 20, 2022",98.39,98.64,88.26,93.50,"164,126,807"
"May 23, 2022",91.66,95.19,90.92,95.07,"128,773,040"
"May 24, 2022",92.54,93.42,89.62,91.16,"123,341,410"
"May 25, 2022",90.43,93.89,89.52,92.65,"111,771,116"
"May 26, 2022",91.34,100.33,90.74,98.75,"128,792,745"
"May 27, 2022",100.14,102.40,99.38,102.26,"104,348,440"
"May 31, 2022",102.43,104.55,100.04,101.86,"125,102,894"
"Jun 1, 2022",102.13,103.57,99.55,101.22,"99,351,389"
"Jun 2, 2022",100.78,109.50,100.78,108.59,"120,953,796"
"Jun 3, 2022",105.80,109.39,104.65,106.30,"110,844,697"
"Jun 6, 2022",108.27,109.57,104.23,105.65,"96,726,891"
"Jun 7, 2022",104.24,106.24,102.61,105.28,"79,022,851"
"Jun 8, 2022",104.57,105.85,100.41,101.90,"97,641,865"
"Jun 9, 2022",101.57,103.94,98.74,98.80,"95,298,975"
"Jun 10, 2022",98.82,99.93,94.25,94.82,"102,212,244"
"Jun 13, 2022",91.26,92.03,86.64,86.99,"98,148,812"
"Jun 14, 2022",87.41,88.30,85.82,86.99,"84,066,567"
"Jun 15, 2022",87.90,90.86,86.19,89.30,"95,774,807"
"Jun 16, 2022",86.63,86.73,80.64,82.05,"102,433,342"
"Jun 17, 2022",82.19,82.94,79.43,81.57,"105,212,293"
"Jun 21, 2022",84.17,85.81,82.60,83.79,"87,780,567"
"Jun 22, 2022",84.40,86.38,83.30,83.75,"86,634,716"
"Jun 23, 2022",84.32,84.41,80.23,82.43,"100,614,559"
"Jun 24, 2022",83.56,87.53,83.08,87.08,"88,553,886"
"Jun 27, 2022",87.36,88.22,85.25,86.16,"74,663,487"
"Jun 28, 2022",85.71,86.73,80.43,80.78,"95,752,533"
"Jun 29, 2022",79.55,79.75,76.51,77.99,"104,140,895"
"Jun 30, 2022",77.73,78.91,75.48,76.47,"105,368,616"
"Jul 1, 2022",75.19,75.45,72.69,73.67,"87,734,237"
"Jul 5, 2022",71.98,75.21,71.60,75.20,"95,685,751"
"Jul 6, 2022",75.17,76.28,73.55,75.35,"85,458,857"
"Jul 7, 2022",77.19,79.99,76.90,79.30,"83,640,945"
"Jul 8, 2022",78.31,80.47,77.40,79.35,"83,405,931"
"Jul 11, 2022",77.85,78.29,75.84,76.95,"76,247,536"
"Jul 12, 2022",76.98,77.44,74.43,76.36,"77,873,214"
"Jul 13, 2022",74.94,79.11,74.48,77.52,"79,354,976"
"Jul 14, 2022",78.23,79.25,76.00,78.60,"83,493,646"
"Jul 15, 2022",79.36,81.20,77.90,81.11,"76,050,597"
"Jul 18, 2022",82.21,84.47,80.94,81.43,"90,464,334"
"Jul 19, 2022",82.76,86.41,82.19,85.88,"85,047,506"
"Jul 20, 2022",85.39,89.92,85.08,89.43,"88,348,558"
"Jul 21, 2022",89.60,91.58,88.22,91.09,"90,449,338"
"Jul 22, 2022",90.20,90.69,87.04,88.10,"76,989,702"
"Jul 25, 2022",86.57,87.60,85.12,87.54,"70,083,006"
"Jul 26, 2022",87.00,87.75,84.71,85.25,"69,180,367"
"Jul 27, 2022",86.94,90.62,86.29,89.82,"78,301,564"
"Jul 28, 2022",90.42,92.22,88.59,91.67,"79,009,185"
"Jul 29, 2022",90.70,94.81,90.56,94.47,"76,630,707"
"Aug 1, 2022",95.59,98.39,93.96,96.78,"96,477,499"